SO Name,Brill Master 2013_2013,,,,,,,,,,,,,,,,,,,
SO Identifier,brill_master_2013_2013,,,,,,,,,,,,,,,,,,,
Provider,Brill,,,,,,,,,,,,,,,,,,,
Package Identifier,2013 Master,,,,,,,,,,,,,,,,,,,
Package Name,2013 Master,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2013,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2013,,,,,,,,,,,,,,,,,,,
Consortium,,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Inner Asia,1464-8172,2210-5018,1999-01,1,1,,,,22105018,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/22105018,Brill Online Books and Journals,administrative,
Insect Systematics & Evolution,1399-560X,1876-312X,1970-01,1,1,,,,1876312x,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/1876312x,Brill Online Books and Journals,administrative,
Intellectual History of the Islamicate World ,2212-9421,2212-943X,,,,,,,2212943x,,full text,new 2013. no online content yet available,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/2212943x,Brill Online Books and Journals,administrative,
International Bibliography of Military History,0378-7869,2211-5757,1974-01,1,1,,,,22115757,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/22115757,Brill Online Books and Journals,administrative,
International Community Law Review,1871-9740,1871-9732,2006-04,8,1,,,,18719732,,full text,continuation of International Law FORUM du droit international & Non-State Actors and International Law,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/18719732,Brill Online Books and Journals,administrative,
International Criminal Law Review,1567-536X,1571-8123,2001-01,1,1,,,,15718123,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15718123,Brill Online Books and Journals,administrative,
International Human Rights Law Review,2213-1027,2213-1035,2012-01,1,1,,,,22131035,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/22131035,Brill Online Books and Journals,administrative,
International Journal for the Study of Skepticism,2210-5697,2210-5700,2011-04,1,1,,,,22105700,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/22105700,Brill Online Books and Journals,administrative,
International Journal of Chinese Education,2212-585X,2212-5868,2012-01,1,1,,,,22125868,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/22125868,Brill Online Books and Journals,administrative,
International Journal of Public Theology,1872-5171,1569-7320,2007-04,1,1,,,,15697320,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15697320,Brill Online Books and Journals,administrative,
International Journal on Minority and Group Rights,1385-4879,1571-8115,1993-01,1,1,,,,15718115,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15718115,Brill Online Books and Journals,administrative,
International Negotiation,1382-340X,1571-8069,1996-01,1,1,,,,15718069,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15718069,Brill Online Books and Journals,administrative,
International Review of Pragmatics,1877-3095,1877-3109,2009-01,1,1,,,,18773109,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/18773109,Brill Online Books and Journals,administrative,
Iran and the Caucasus,1609-8498,1573-384X,1997-01,1,1,,,,1573384x,,full text,2000 vol 4 no digitised,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/1573384x,Brill Online Books and Journals,administrative,
Islamic Law and Society,0928-9380,1568-5195,1994-01,1,1,,,,15685195,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15685195,Brill Online Books and Journals,administrative,
Journal for European Environmental & Planning Law,1613-7272,1876-0104,2004-01,1,1,,,,18760104,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/18760104,Brill Online Books and Journals,administrative,
