"Title"	"Author(s)"	"Editor(s)"	"Importance"	"ISBN10"	"ISBN13"	"Date of Publication"	"Publisher"	"Web Address"	"Time Period"	"CKEY"
"Knowledge management: social, cultural and theoretical perspectives"	"Rikowski; Ruth"		"Essential reading"		9781780631981	2007	"Chandos"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781780631981"	1516	
"State and society: a social and political history of Britain since 1870"	"Pugh; Martin"		"Essential reading"		9781780930947	2012	"Bloomsbury Academic"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781780930947"	1516	
"The big society debate: a new agenda for social welfare?"	"Ishkanian, Armine; Szreter, Simon"		"Essential reading"		9781781002087	"c2012"	"Edward Elgar"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781781002087"	1516	
"Chivalry, kingship and crusade: the English experience in the fourteenth century"	"Guard; Timothy"		"Essential reading"		9781782040866	2013	"Boydell"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781782040866"	1516	
"CakePHP 2 application cookbook: Over 60 useful recipes for rapid application development with the CakePHP framework"	"GonzlÌ€ez; Jorge; Watts; James"		"Essential reading"		9781782160090	2014	"Packt Pubishing"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781782160090"	1516	
"Learning Three.js: the JavaScript 3D library for WebGL : create and animate stunning 3D graphics using the open source Three.js JavaScript library"	"Dirksen; Jos"		"Essential reading"		9781782166290	2013	"Packt Publishing"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781782166290"	1516	
"Serial agencies: the wire and its readers"	"Kelleter; Frank"		"Essential reading"		9781782795391	2014	"Zero Books, an imprint of John Hunt Publishing"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781782795391"	1516	
"Fashion in popular culture: literature, media and contemporary studies"	"Hancock; Joseph; Johnson-Woods; Toni; Karaminas; Vicki"		"Essential reading"		9781783200474	2013	"Intellect"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781783200474"	1516	
"MEAN web development: master real-time web application development using a mean combination of MongoDB, Express, Angular JS, and Node.js"	"Amos Q. Haviv"		"Essential reading"		9781783983292	2014	"Packt Publishing"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781783983292"	1516	
"Inspiring writing in art and design: taking a line for a write"	"Francis, Pat"		"Essential reading"		9781841503004	2009	"Intellect Books"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781841503004"	1516	
"Art education in a postmodern world: collected essays"	"Hardy, Tom"		"Essential reading"	1841501468		2006	"Intellect"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781841509587"	1516	
