SO Name,Wiley Online Library Full Collection 2012_2014 NESLI2,,,,,,,,,,,,,,,,,,,
SO Identifier,wiley_Full Collection_2012_2014_Nesli2,,,,,,,,,,,,,,,,,,,
Provider,Wiley,,,,,,,,,,,,,,,,,,,
Package Identifier,Full Collection,,,,,,,,,,,,,,,,,,,
Package Name,Full Collection,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2014,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
AFRICAN JOURNAL OF ECOLOGY,0141-6707,1365-2028,1997,35,,,,,,,,,,10.1111/(ISSN)1365-2028,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2028,Wiley Online Library,administrative,
AGGRESSIVE BEHAVIOR,0096-140X,1098-2337,1997,,,,,,,,,,,10.1002/(ISSN)1098-2337,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-2337,Wiley Online Library,administrative,
AGING CELL,1474-9718,1474-9726,2002,1,,,,,,,,free back issues after 2 years back to 2002,,10.1111/(ISSN)1474-9726,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1474-9726,Wiley Online Library,administrative,
AGRIBUSINESS : AN INTERNATIONAL JOURNAL,0742-4477,1520-6297,1997,,,,,,,,,,,10.1002/(ISSN)1520-6297,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1520-6297,Wiley Online Library,administrative,
AGRICULTURAL AND FOREST ENTOMOLOGY,1461-9555,1461-9563,1999,1,,,,,,,,,,10.1111/(ISSN)1461-9563,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1461-9563,Wiley Online Library,administrative,
AGRICULTURAL ECONOMICS,0169-5150,1574-0862,2000,22,,,,,,,,,,10.1111/(ISSN)1574-0862,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1574-0862,Wiley Online Library,administrative,
AICHE JOURNAL,0001-1541,1547-5905,1998,44,,,,,,,,,,10.1002/(ISSN)1547-5905,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1547-5905,Wiley Online Library,administrative,
ALCOHOLISM,0145-6008,1530-0277,1997,21,,,,,,,,,,10.1111/(ISSN)1530-0277,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1530-0277,Wiley Online Library,administrative,
ALCOHOLISM AND DRUG ABUSE WEEKLY,1042-1394,1556-7591,2005,17,,,,,,,,,,10.1002/(ISSN)1556-7591,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1556-7591,Wiley Online Library,administrative,
ALIMENTARY PHARMACOLOGY & THERAPEUTICS,0269-2813,1365-2036,1997,11,,,,,,,,free back issues after 18 months back to Jan 1st 1997,,10.1111/(ISSN)1365-2036,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2036,Wiley Online Library,administrative,
