SO Name,Wiley Online Library Full Collection 2012_2014 NESLI2,,,,,,,,,,,,,,,,,,,
SO Identifier,wiley_Full Collection_2012_2014_Nesli2,,,,,,,,,,,,,,,,,,,
Provider,Wiley,,,,,,,,,,,,,,,,,,,
Package Identifier,Full Collection,,,,,,,,,,,,,,,,,,,
Package Name,Full Collection,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2014,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
INTERNATIONAL STUDIES REVIEW,1521-9488,1468-2486,1997,1,,,,,,,,,,10.1111/(ISSN)1468-2486,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-2486,Wiley Online Library,administrative,
INTERNATIONAL TRANSACTIONS IN OPERATIONAL RESEARCH,0969-6016,1475-3995,1997,,,,,,,,,,,10.1111/(ISSN)1475-3995,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1475-3995,Wiley Online Library,administrative,
INTERNATIONAL WOUND JOURNAL,1742-4801,1742-481X,2004,1,,,,,,,,,,10.1111/(ISSN)1742-481X,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1742-481X,Wiley Online Library,administrative,
INTERNATIONAL ZOO YEARBOOK,0074-9664,1748-1090,1997,35,,,,,,,,,,10.1111/(ISSN)1748-1090,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1748-1090,Wiley Online Library,administrative,
INTERNATIONALE REVUE FUR SOZIALE SICHERHEIT,0379-0282,1752-1726,2007,60,,,,,,,,,,10.1111/(ISSN)1752-1726,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1752-1726,Wiley Online Library,administrative,
INVERTEBRATE BIOLOGY,1077-8306,1744-7410,2000,119,,,,,,,,,,10.1111/(ISSN)1744-7410,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1744-7410,Wiley Online Library,administrative,
IRRIGATION AND DRAINAGE,1531-0353,1531-0361,2001,50,,,,,,,,,,10.1002/(ISSN)1531-0361,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1531-0361,Wiley Online Library,administrative,
ISBT SCIENCE SERIES: THE INTERNATIONAL JOURNAL OF INTRACELLULAR TRANSPORT,1751-2816,1751-2824,2006,1,,,,,,,,,,10.1111/(ISSN)1751-2824,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1751-2824,Wiley Online Library,administrative,
ISLAND ARC,1038-4871,1440-1738,1997,6,,,,,,,,,,10.1111/(ISSN)1440-1738,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1440-1738,Wiley Online Library,administrative,
JAPAN JOURNAL OF NURSING SCIENCE,1742-7932,1742-7924,2004,1,,,,,,,,,,10.1111/(ISSN)1742-7924,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1742-7924,Wiley Online Library,administrative,
JAPANESE PSYCHOLOGICAL RESEARCH,0021-5368,1468-5884,1997,39,,,,,,,,,,10.1111/(ISSN)1468-5884,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-5884,Wiley Online Library,administrative,
JCMS: JOURNAL OF COMMON MARKET STUDIES,0021-9886,1468-5965,1997,35,,,,,,,,,,10.1111/(ISSN)1468-5965,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-5965,Wiley Online Library,administrative,
JOURNAL DER DEUTSCHEN DERMATOLOGISCHEN GESELLSCHAFT,1610-0379,1610-0387,2003,1,,,,,,,,,,10.1111/(ISSN)1610-0387,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1610-0387,Wiley Online Library,administrative,
JOURNAL FOR EIGHTEENTH-CENTURY STUDIES,1754-0194,1754-0208,1997,20,,,,,,,,,,10.1111/(ISSN)1754-0208,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1754-0208,Wiley Online Library,administrative,
JOURNAL FOR HEALTHCARE QUALITY,1062-2551,1945-1474,2009,31,,,,,,,,,,10.1111/(ISSN)1945-1474,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1945-1474,Wiley Online Library,administrative,
JOURNAL FOR SPECIALISTS IN PEDIATRIC NURSING,1539-0136,1744-6155,1997,2,,,,,,,,,,10.1111/(ISSN)1744-6155,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1744-6155,Wiley Online Library,administrative,
JOURNAL FOR THE SCIENTIFIC STUDY OF RELIGION,0021-8294,1468-5906,2000,39,,,,,,,,,,10.1111/(ISSN)1468-5906,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-5906,Wiley Online Library,administrative,
JOURNAL FOR THE THEORY OF SOCIAL BEHAVIOUR,0021-8308,1468-5914,1997,27,,,,,,,,,,10.1111/(ISSN)1468-5914,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-5914,Wiley Online Library,administrative,
JOURNAL OF ADVANCED NURSING,0309-2402,1365-2648,1997,25,,,,,,,,,,10.1111/(ISSN)1365-2648,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2648,Wiley Online Library,administrative,
JOURNAL OF AESTHETICS AND ART CRITICISM,0021-8529,1540-6245,2001,59,,,,,,,,,,10.1111/(ISSN)1540-6245,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1540-6245,Wiley Online Library,administrative,
JOURNAL OF AGRARIAN CHANGE,1471-0358,1471-0366,2001,1,,,,,,,,,,10.1111/(ISSN)1471-0366,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1471-0366,Wiley Online Library,administrative,
JOURNAL OF AGRICULTURAL ECONOMICS,0021-857X,1477-9552,1997,48,,,,,,,,,,10.1111/(ISSN)1477-9552,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1477-9552,Wiley Online Library,administrative,
JOURNAL OF AGRONOMY AND CROP SCIENCE,0931-2250,1439-037X,1997,170,,,,,,,,,,10.1111/(ISSN)1439-037X,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1439-037X,Wiley Online Library,administrative,
JOURNAL OF AMERICAN GERIATRICS SOCIETY,0002-8614,1532-5415,2001,49,,,,,,,,,,10.1111/(ISSN)1532-5415,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1532-5415,Wiley Online Library,administrative,
JOURNAL OF ANATOMY,0021-8782,1469-7580,1997,190,,,,,,,,free back issues after 2 years back to 1997,,10.1111/(ISSN)1469-7580,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1469-7580,Wiley Online Library,administrative,
JOURNAL OF ANIMAL BREEDING AND GENETICS,0931-2668,1439-0388,1999,116,,,,,,,,,,10.1111/(ISSN)1439-0388,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1439-0388,Wiley Online Library,administrative,
JOURNAL OF ANIMAL ECOLOGY,0021-8790,1365-2656,1998,67,,,,,,,,free back issues after 2 years back to 1998,,10.1111/(ISSN)1365-2656,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2656,Wiley Online Library,administrative,
JOURNAL OF ANIMAL PHYSIOLOGY AND NUTRITION,0931-2439,1439-0396,1997,77,,,,,,,,,,10.1111/(ISSN)1439-0396,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1439-0396,Wiley Online Library,administrative,
JOURNAL OF APPLIED BIOBEHAVIORAL RESEARCH,1071-2089,1751-9861,1997,,,,,,,,,,,10.1111/(ISSN)1751-9861,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1751-9861,Wiley Online Library,administrative,
JOURNAL OF APPLIED CRYSTALLOGRAPHY,0021-8898,1600-5767,1997,30,,,,,,,,,,10.1111/(ISSN)1600-5767,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-5767,Wiley Online Library,administrative,
JOURNAL OF APPLIED ECOLOGY,0021-8901,1365-2664,1998,35,,,,,,,,free back issues after 2 years back to 1998,,10.1111/(ISSN)1365-2664,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2664,Wiley Online Library,administrative,
JOURNAL OF APPLIED ECONOMETRICS,0883-7252,1099-1255,1997,,,,,,,,,,,10.1002/(ISSN)1099-1255,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1255,Wiley Online Library,administrative,
JOURNAL OF APPLIED ENTOMOLOGY,0931-2048,1439-0418,1997,121,,,,,,,,,,10.1111/(ISSN)1439-0418,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1439-0418,Wiley Online Library,administrative,
JOURNAL OF APPLIED ICHTHYOLOGY,0175-8659,1439-0426,1997,13,,,,,,,,,,10.1111/(ISSN)1439-0426,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1439-0426,Wiley Online Library,administrative,
JOURNAL OF APPLIED MICROBIOLOGY,1364-5072,1365-2672,1997,82,,,,,,,,free back issues after 3 years back to Jan 1st 1997,,10.1111/(ISSN)1365-2672,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2672,Wiley Online Library,administrative,
JOURNAL OF APPLIED PHILOSOPHY,0264-3758,1468-5930,1997,14,,,,,,,,,,10.1111/(ISSN)1468-5930,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-5930,Wiley Online Library,administrative,
JOURNAL OF APPLIED POLYMER SCIENCE,0021-8995,1097-4628,1997,,,,,,,,,,,10.1002/(ISSN)1097-4628,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-4628,Wiley Online Library,administrative,
JOURNAL OF APPLIED RESEARCH IN INTELLECTUAL DISABILITIES,1360-2322,1468-3148,1997,10,,,,,,,,,,10.1111/(ISSN)1468-3148,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-3148,Wiley Online Library,administrative,
JOURNAL OF APPLIED SOCIAL PSYCHOLOGY,0021-9029,1559-1816,1997,27,,,,,,,,,,10.1111/(ISSN)1559-1816,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1559-1816,Wiley Online Library,administrative,
JOURNAL OF APPLIED TOXICOLOGY,0260-437X,1099-1263,1997,,,,,,,,,,,10.1002/(ISSN)1099-1263,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1263,Wiley Online Library,administrative,
JOURNAL OF ARCHITECTURAL EDUCATION,1046-4883,1531-314X,1999,53,,,,,,,,,,10.1111/(ISSN)1531-314X,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1531-314X,Wiley Online Library,administrative,
JOURNAL OF AVIAN BIOLOGY,0908-8857,1600-048X,2000,31,,,,,,,,,,10.1111/(ISSN)1600-048X,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-048X,Wiley Online Library,administrative,
JOURNAL OF BASIC MICROBIOLOGY,0233-111X,1521-4028,1998,38,,,,,,,,,,10.1002/(ISSN)1521-4028,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-4028,Wiley Online Library,administrative,
JOURNAL OF BEHAVIORAL DECISION MAKING,0894-3257,1099-0771,1997,,,,,,,,,,,10.1002/(ISSN)1099-0771,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0771,Wiley Online Library,administrative,
JOURNAL OF BIOCHEMICAL AND MOLECULAR TOXICOLOGY,1095-6670,1099-0461,1997,,,,,,,,,,,10.1002/(ISSN)1099-0461,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0461,Wiley Online Library,administrative,
JOURNAL OF BIOGEOGRAPHY,0305-0270,1365-2699,1997,24,,,,,,,,,,10.1111/(ISSN)1365-2699,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2699,Wiley Online Library,administrative,
JOURNAL OF BIOMEDICAL MATERIALS RESEARCH,1549-3296,1552-4965,1997,,,,,,,,,,,10.1002/(ISSN)1552-4981,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1552-4981,Wiley Online Library,administrative,
JOURNAL OF BUSINESS FINANCE & ACCOUNTING,0306-686X,1468-5957,1997,24,,,,,,,,,,10.1111/(ISSN)1468-5957,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-5957,Wiley Online Library,administrative,
JOURNAL OF BUSINESS LOGISTICS,0735-3766,2158-1592,1997,,,,,,,,,,,10.1002/(ISSN)2158-1592,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2158-1592,Wiley Online Library,administrative,
JOURNAL OF CARDIAC SURGERY,0886-0440,1540-8191,1997,12,,,,,,,,,,10.1111/(ISSN)1540-8191,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1540-8191,Wiley Online Library,administrative,
JOURNAL OF CARDIOVASCULAR ELECTROPHYSIOLOGY,1045-3873,1540-8167,1997,8,,,,,,,,,,10.1111/(ISSN)1540-8167,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1540-8167,Wiley Online Library,administrative,
JOURNAL OF CELLULAR BIOCHEMISTRY,0730-2312,1097-4644,1997,,,,,,,,,,,10.1002/(ISSN)1097-4644,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-4644,Wiley Online Library,administrative,
JOURNAL OF CELLULAR PHYSIOLOGY,0021-9541,1097-4652,1997,,,,,,,,,,,10.1002/(ISSN)1097-4652,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-4652,Wiley Online Library,administrative,
JOURNAL OF CHEMICAL TECHNOLOGY & BIOTECHNOLOGY,0268-2575,1097-4660,1997,,,,,,,,,,,10.1002/(ISSN)1097-4660,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-4660,Wiley Online Library,administrative,
JOURNAL OF CHEMOMETRICS,0886-9383,1099-128X,1997,,,,,,,,,,,10.1002/(ISSN)1099-128X,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-128X,Wiley Online Library,administrative,
JOURNAL OF CHILD AND ADOLESCENT PSYCHIATRIC NURSING,1073-6077,1744-6171,1997,10,,,,,,,,,,10.1111/(ISSN)1744-6171,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1744-6171,Wiley Online Library,administrative,
JOURNAL OF CHINESE PHILOSOPHY,0301-8121,1540-6253,1997,24,,,,,,,,,,10.1111/(ISSN)1540-6253,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1540-6253,Wiley Online Library,administrative,
JOURNAL OF CLINICAL APHERESIS,0733-2459,1098-1101,1997,,,,,,,,,,,10.1002/(ISSN)1098-1101,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-1101,Wiley Online Library,administrative,
JOURNAL OF CLINICAL LABORATORY ANALYSIS,0887-8013,1098-2825,1997,,,,,,,,,,,10.1002/(ISSN)1098-2825,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-2825,Wiley Online Library,administrative,
JOURNAL OF CLINICAL NURSING,0962-1067,1365-2702,1997,6,,,,,,,,,,10.1111/(ISSN)1365-2702,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2702,Wiley Online Library,administrative,
JOURNAL OF CLINICAL PERIODONTOLOGY,0303-6979,1600-051X,1997,24,,,,,,,,,,10.1111/(ISSN)1600-051X,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-051X,Wiley Online Library,administrative,
JOURNAL OF CLINICAL PHARMACY & THERAPEUTICS,0269-4727,1365-2710,1997,22,,,,,,,,,,10.1111/(ISSN)1365-2710,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2710,Wiley Online Library,administrative,
JOURNAL OF CLINICAL PSYCHOLOGY,0021-9762,1097-4679,1997,,,,,,,,,,,10.1002/(ISSN)1097-4679,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-4679,Wiley Online Library,administrative,
JOURNAL OF CLINICAL ULTRASOUND,0091-2751,1097-0096,1997,,,,,,,,,,,10.1002/(ISSN)1097-0096,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0096,Wiley Online Library,administrative,
JOURNAL OF COLLEGE COUNSELING,1099-0399,2161-1882,1998,1,,,,,,,,,,10.1002/(ISSN)2161-1882,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2161-1882/,Wiley Online Library,administrative,
JOURNAL OF COMBINATORIAL DESIGNS,1063-8539,1520-6610,1997,,,,,,,,,,,10.1002/(ISSN)1520-6610,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1520-6610,Wiley Online Library,administrative,
JOURNAL OF COMMUNICATION,0021-9916,1460-2466,1997,47,,,,,,,,,,10.1111/(ISSN)1460-2466,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1460-2466,Wiley Online Library,administrative,
JOURNAL OF COMMUNITY & APPLIED SOCIAL PSYCHOLOGY,1052-9284,1099-1298,1997,,,,,,,,,,,10.1002/(ISSN)1099-1298,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1298,Wiley Online Library,administrative,
JOURNAL OF COMMUNITY PSYCHOLOGY,0090-4392,1520-6629,1997,,,,,,,,,,,10.1002/(ISSN)1520-6629,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1520-6629,Wiley Online Library,administrative,
JOURNAL OF COMPUTATIONAL CHEMISTRY,0192-8651,1096-987X,1997,,,,,,,,,,,10.1002/(ISSN)1096-987X,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1096-987X,Wiley Online Library,administrative,
JOURNAL OF COMPUTER ASSISTED LEARNING,0266-4909,1365-2729,1997,13,,,,,,,,,,10.1111/(ISSN)1365-2729,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2729,Wiley Online Library,administrative,
JOURNAL OF COMPUTER-MEDIATED COMMUNICATION,,1083-6101,1997,,,,,,,,,,,10.1111/(ISSN)1083-6101,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1083-6101,Wiley Online Library,administrative,
JOURNAL OF CONSUMER AFFAIRS,0022-0078,1745-6606,1997,31,,,,,,,,,,10.1111/(ISSN)1745-6606,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1745-6606,Wiley Online Library,administrative,
JOURNAL OF CONSUMER BEHAVIOUR,1472-0817,1479-1838,2001,1,,,,,,,,,,10.1002/(ISSN)1479-1838,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1479-1838,Wiley Online Library,administrative,
JOURNAL OF CONTEMPORARY WATER RESOURCE & EDUCATION,1936-7031,1936-704X,2004,128,,,,,,,,,,10.1111/(ISSN)1936-704X,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1936-704X,Wiley Online Library,administrative,
JOURNAL OF CONTINGENCIES AND CRISIS MANAGEMENT,0966-0879,1468-5973,1997,5,,,,,,,,,,10.1111/(ISSN)1468-5973,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-5973,Wiley Online Library,administrative,
JOURNAL OF CORPORATE ACCOUNTING & FINANCE,1044-8136,1097-0053,1999,11,,,,,,,,,,10.1002/(ISSN)1097-0053,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0053,Wiley Online Library,administrative,
JOURNAL OF COSMETIC DERMATOLOGY,1473-2130,1473-2165,2002,1,,,,,,,,,,10.1111/(ISSN)1473-2165,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1473-2165,Wiley Online Library,administrative,
JOURNAL OF COUNSELING & DEVELOPMENT,0748-9633,1556-6678,1997,88,,,,,,,,,,10.1002/(ISSN)1556-6678,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1556-6678,Wiley Online Library,administrative,
JOURNAL OF CUTANEOUS PATHOLOGY,0303-6987,1600-0560,1997,24,,,,,,,,,,10.1111/(ISSN)1600-0560,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0560,Wiley Online Library,administrative,
JOURNAL OF DIGESTIVE DISEASES,1751-2972,1751-2980,2000,8,,,,,,,,,,10.1111/(ISSN)1751-2980,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1751-2980,Wiley Online Library,administrative,
JOURNAL OF ECOLOGY,0022-0477,1365-2745,1998,86,,,,,,,,free back issues after 2 years back to 1998,,10.1111/(ISSN)1365-2745,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2745,Wiley Online Library,administrative,
JOURNAL OF ECONOMIC SURVEYS,0950-0804,1467-6419,1997,11,,,,,,,,,,10.1111/(ISSN)1467-6419,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-6419,Wiley Online Library,administrative,
JOURNAL OF ECONOMICS & MANAGEMENT STRATEGY,1058-6407,1530-9134,1997,6,,,,,,,,,,10.1111/(ISSN)1530-9134,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1530-9134,Wiley Online Library,administrative,
JOURNAL OF EDUCATIONAL MEASUREMENT,0022-0655,1745-3984,1997,34,,,,,,,,,,10.1111/(ISSN)1745-3984,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1745-3984,Wiley Online Library,administrative,
JOURNAL OF EMPIRICAL LEGAL STUDIES,1740-1453,1740-1461,2004,1,,,,,,,,,,10.1111/(ISSN)1740-1461,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1740-1461,Wiley Online Library,administrative,
JOURNAL OF EMPLOYMENT COUNSELING,0022-0787,2161-1920,1997,47,,,,,,,,,,10.1002/(ISSN)2161-1920/issues,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2161-1920/issues,Wiley Online Library,administrative,
JOURNAL OF ESTHETIC AND RESTORATIVE DENTISTRY,1496-4155,1708-8240,1997,9,,,,,,,,,,10.1111/(ISSN)1708-8240,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1708-8240,Wiley Online Library,administrative,
JOURNAL OF EVALUATION IN CLINICAL PRACTICE (ELECTRONIC),1356-1294,1365-2753,1997,3,,,,,,,,,,10.1111/(ISSN)1365-2753,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2753,Wiley Online Library,administrative,
JOURNAL OF EVOLUTIONARY BIOLOGY,1010-061X,1420-9101,1997,10,,,,,,,,free back issues after 2 years back to 1988,,10.1111/(ISSN)1420-9101,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1420-9101,Wiley Online Library,administrative,
JOURNAL OF FAMILY THEORY & REVIEW,1756-2570,1756-2589,2009,1,,,,,,,,,,10.1111/(ISSN)1756-2589,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1756-2589,Wiley Online Library,administrative,
JOURNAL OF FAMILY THERAPY,0163-4445,1467-6427,1997,19,,,,,,,,free back issues after 2000 back to 1979,,10.1111/(ISSN)1467-6427,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-6427,Wiley Online Library,administrative,
JOURNAL OF FIELD ORNITHOLOGY,0273-8570,1557-9263,2006,77,,,,,,,,,,10.1111/(ISSN)1557-9263,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1557-9263,Wiley Online Library,administrative,
JOURNAL OF FIELD ROBOTICS,1556-4959,1556-4967,1997,,,,,,,,,,,10.1002/(ISSN)1556-4967,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1556-4967,Wiley Online Library,administrative,
JOURNAL OF FISH BIOLOGY,0022-1112,1095-8649,1997,50,,,,,,,,,,10.1111/(ISSN)1095-8649,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1095-8649,Wiley Online Library,administrative,
JOURNAL OF FISH DISEASES,0140-7775,1365-2761,1997,20,,,,,,,,,,10.1111/(ISSN)1365-2761,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2761,Wiley Online Library,administrative,
JOURNAL OF FOOD BIOCHEMISTRY (ELECTRONIC),0145-8884,1745-4514,1997,21,,,,,,,,,,10.1111/(ISSN)1745-4514,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1745-4514,Wiley Online Library,administrative,
JOURNAL OF FOOD PROCESS ENGINEERING (ELECTRONIC),0145-8876,1745-4530,1997,20,,,,,,,,,,10.1111/(ISSN)1745-4530,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1745-4530,Wiley Online Library,administrative,
JOURNAL OF FOOD PROCESSING AND PRESERVATION (ELECTRONIC),0145-8892,1745-4549,1997,21,,,,,,,,,,10.1111/(ISSN)1745-4549,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1745-4549,Wiley Online Library,administrative,
JOURNAL OF FOOD QUALITY (ELECTRONIC),0146-9428,1745-4557,1997,20,,,,,,,,,,10.1111/(ISSN)1745-4557,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1745-4557,Wiley Online Library,administrative,
JOURNAL OF FOOD SAFETY (ELECTRONIC),0149-6085,1745-4565,1997,17,,,,,,,,,,10.1111/(ISSN)1745-4565,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1745-4565,Wiley Online Library,administrative,
JOURNAL OF FOOD SCIENCE,0022-1147,1750-3841,1997,62,,,,,,,,,,10.1111/(ISSN)1750-3841,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1750-3841,Wiley Online Library,administrative,
JOURNAL OF FOOD SCIENCE EDUCATION,,1541-4329,2002,1,,,,,,,,,,10.1111/(ISSN)1541-4329,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1541-4329,Wiley Online Library,administrative,
