publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Lost in Translation	9780748637454	9780748637478							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748637478	King	CBO9780748637478		fulltext		Edinburgh University Press	Monograph	2010-03-31 00:00:00	2013-08-05 00:00:00	0	1				P
Luck Egalitarianism	9780748638697	9780748641376							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748641376	Knight	CBO9780748641376		fulltext		Edinburgh University Press	Monograph	2009-07-10 00:00:00	2012-09-12 00:00:00	0	1				P
Masquerades of Modernity	9780748633197	9780748633210							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748633210	de Jong	CBO9780748633210		fulltext		Edinburgh University Press	Monograph	2007-10-26 00:00:00	2013-08-05 00:00:00	0	1				P
Material Inscriptions	9780748681228	9780748681235							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748681235	Warminski	CBO9780748681235		fulltext		Edinburgh University Press	Monograph	2013-06-07 00:00:00	2013-10-05 00:00:00	0	1				P
Media Audiences	9780748624171	9780748630363							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748630363	Gorton	CBO9780748630363		fulltext		Edinburgh University Press	Monograph	2009-09-08 00:00:00	2013-08-05 00:00:00	0	1				P
Media Discourse	9780748623471	9780748630073							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748630073	Talbot	CBO9780748630073		fulltext		Edinburgh University Press	Monograph	2007-09-15 00:00:00	2013-08-05 00:00:00	0	1				P
Media Policy and Globalization	9780748618491	9780748627219							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748627219	Chakravartty/Sarikakis	CBO9780748627219		fulltext		Edinburgh University Press	Monograph	2006-06-15 00:00:00	2013-08-05 00:00:00	0	1				P
Media Regulation, Public Interest and the Law	9780748621668	9780748627158							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748627158	Feintuck/Varney	CBO9780748627158		fulltext		Edinburgh University Press	Monograph	2006-07-10 00:00:00	2013-08-05 00:00:00	0	2				P
Media Rights and Intellectual Property	9780748618804	9780748680597							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748680597	Haynes	CBO9780748680597		fulltext		Edinburgh University Press	Monograph	2005-05-09 00:00:00	2013-08-05 00:00:00	0	1				P
Media and Memory	9780748640348	9780748647071							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748647071	Garde-Hansen	CBO9780748647071		fulltext		Edinburgh University Press	Monograph	2011-06-29 00:00:00	2013-08-05 00:00:00	0	1				P
Medieval Islamic Political Thought	9780748618705	9780748646500							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748646500	Crone	CBO9780748646500		fulltext		Edinburgh University Press	Monograph	2004-01-28 00:00:00	2013-08-05 00:00:00	0	1				P
Mel Brooks in the Cultural Industries	9780748649587	9780748664481							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748664481	Symons	CBO9780748664481		fulltext		Edinburgh University Press	Monograph	2012-08-06 00:00:00	2013-08-05 00:00:00	0	1				P
Memento	9780748637713	9780748637737							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748637737	Molloy	CBO9780748637737		fulltext		Edinburgh University Press	Monograph	2010-02-28 00:00:00	2013-08-05 00:00:00	0	1				P
Memory and the Moving Image	9780748638918	9780748642205							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748642205	McNeill	CBO9780748642205		fulltext		Edinburgh University Press	Monograph	2010-02-28 00:00:00	2013-08-05 00:00:00	0	1				P
Mixed Jurisdictions Compared	9780748638864	9780748642120							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748642120	Palmer/Reid	CBO9780748642120		fulltext		Edinburgh University Press	Monograph	2009-10-15 00:00:00	2012-09-12 00:00:00	0	1				P
Modern Arab Journalism	9780748634101	9780748634125							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748634125	Mellor	CBO9780748634125		fulltext		Edinburgh University Press	Monograph	2007-11-30 00:00:00	2013-08-05 00:00:00	0	1				P
Modern Literature and the Tragic	9780748636730	9780748636747							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748636747	Newton	CBO9780748636747		fulltext		Edinburgh University Press	Monograph	2008-06-20 00:00:00	2012-09-12 00:00:00	0	1				P
Modern Nostalgia	9780748633067	9780748633074							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748633074	Hemmings	CBO9780748633074		fulltext		Edinburgh University Press	Monograph	2008-07-04 00:00:00	2012-09-12 00:00:00	0	1				P
Modernism and Magic	9780748627691	9780748631650							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748631650	Wilson	CBO9780748631650		fulltext		Edinburgh University Press	Monograph	2012-11-14 00:00:00	2013-08-05 00:00:00	0	1				P
Moving Images	9780748669486	9780748669493							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748669493	Groth	CBO9780748669493		fulltext		Edinburgh University Press	Monograph	2013-08-23 00:00:00	2014-03-05 00:00:00	0	1				P
Muriel Rukeyser and Documentary	9780748670536	9780748670543							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748670543	Gander	CBO9780748670543		fulltext		Edinburgh University Press	Monograph	2013-01-04 00:00:00	2013-08-05 00:00:00	0	1				P
Music Video and the Politics of Representation	9780748633227	9780748633241							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748633241	Railton/Watson	CBO9780748633241		fulltext		Edinburgh University Press	Monograph	2011-07-07 00:00:00	2013-08-05 00:00:00	0	1				P
Music, Sound and Multimedia	9780748625338	9780748630905							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748630905	Sexton	CBO9780748630905		fulltext		Edinburgh University Press	Monograph	2007-11-14 00:00:00	2013-09-05 00:00:00	0	1				P
Muslim Political Participation in Europe	9780748646944	9780748646951							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748646951	Nielsen	CBO9780748646951		fulltext		Edinburgh University Press	Monograph	2013-02-20 00:00:00	2013-10-05 00:00:00	0	1				P
Muslims in Britain	9780748625871	9780748631230							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748631230	Hopkins/Gale	CBO9780748631230		fulltext		Edinburgh University Press	Monograph	2009-03-31 00:00:00	2013-08-05 00:00:00	0	1				P
Muslims of Europe	9780748639472	9780748642083							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748642083	Hellyer	CBO9780748642083		fulltext		Edinburgh University Press	Monograph	2009-09-30 00:00:00	2013-08-05 00:00:00	0	1				P
Myth of the Western	9780748685585	9780748685592							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748685592	Carter	CBO9780748685592		fulltext		Edinburgh University Press	Monograph	2014-03-11 00:00:00	2014-09-05 00:00:00	0	1				P
New Korean Cinema	9780748618514	9780748680627							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748680627	Shin/Stringer	CBO9780748680627		fulltext		Edinburgh University Press	Monograph	2005-07-11 00:00:00	2013-08-05 00:00:00	0	1				P
New Punk Cinema	9780748620340	9780748680603							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748680603	Rombes	CBO9780748680603		fulltext		Edinburgh University Press	Monograph	2005-05-19 00:00:00	2013-08-05 00:00:00	0	1				P
New Taiwanese Cinema in Focus	9780748682010	9780748682027							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748682027	Wilson	CBO9780748682027		fulltext		Edinburgh University Press	Monograph	2014-03-17 00:00:00	2014-09-05 00:00:00	0	1				P
New Zealand English	9780748625291	9780748630882							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748630882	Hay/Maclagan	CBO9780748630882		fulltext		Edinburgh University Press	Monograph	2008-03-12 00:00:00	2012-09-12 00:00:00	0	1				P
Newfoundland and Labrador English	9780748626168	9780748631414							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748631414	Clarke	CBO9780748631414		fulltext		Edinburgh University Press	Monograph	2010-02-28 00:00:00	2012-09-12 00:00:00	0	1				P
Nietzsche on Epistemology and Metaphysics	9780748628070	9780748631865							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748631865	Doyle	CBO9780748631865		fulltext		Edinburgh University Press	Monograph	2009-06-23 00:00:00	2012-09-12 00:00:00	0	1				P
Nineteenth-Century U.S. Literature in Middle Eastern Languages	9780748645640	9780748683093							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748683093	Einboden	CBO9780748683093		fulltext		Edinburgh University Press	Monograph	2013-05-20 00:00:00	2013-10-05 00:00:00	0	1				P
